,X1,sample_id,lake_id,lake_name,sa_ha,lake_type,ecoregion_3,trip_num,county,year,date_sampled,sample_location,lat,long,max_depth_m,secchi_m,lt_trans_3ft_per,lt_level_1per_ft,water_col_oxic_per,ph_epi,ph_hypo,cond_epi,cond_hypo,alk_epi,alk_hypo,no3_epi,no3_hypo,nh3_epi,nh3_hypo,tkn_epi,tkn_hypo,srp_epi,srp_hypo,tp_epi,tp_hypo,chla_ug_L,micro_ug_L,pktn_cells_mL,pktn_num_L,bg_dom_nu_per,bg_dom_cell_per,bg_num_L,bg_cell_mL,green_num_L,green_cell_mL,diatoms_nu_L,diatoms_cells_mL,other_algae_nu_L,other_algae_cells_mL,rotifer_num_L,rotifers_cell_mL,zoo_num_L,zoo_cells_mL,alk_avg,cond_avg,ph_avg,no3_avg,nh3_avg,tkn_avg,orgn_avg,srp_avg,tp_avg,tsi_sd,tsi_chla,tsi_tp_avg,tsi_tp_epi,tsi_comb,tn_avg,tn_epi,tn_hypo,not_sampled,tsi_int
151,132,2483,1479,Skunk,0.3,Surface Mine Lake,72,7,Greene,2016,27-Jul-16,Deep Hole,39.05505,-87.3485,4.3,2.1,24.62,12.5,NA,7.5,7.2,197,215,51,59,0.311,0.0086,0.015,0.015,NA,NA,0.004,0.006,0.023,0.034,7.559,NA,15872,4601459,11.2,23,517126,3603,3967601,11582,44580,45,71328,642,242,0,582,0,55,206,7.35,0.1598,0.015,NA,0,0.005,0.0285,49,50,52,49,50,NA,0.542,0.767,FALSE,Mesotrophic
101,34,2361,1479,Skunk,0.3,Surface Mine Lake,72,4,Greene,2015,15-Jul-15,deep hole,39.05504,-87.34841,5,2.1,10.89,8.856,100,8.3,6.8,182,203,54,60,0.079,0.067,0.018,0.019,0.733,1.621,0.01,0.01,0.032,0.1,4.37,NA,34359,3700614,35.4,63,1310646,21504,2202244,12668,187236,187,NA,NA,220,0,268,0,57,192.5,7.55,0.073,0.0185,1.177,1.1585,0.01,0.066,49,45,65,54,53,NA,NA,NA,FALSE,Mesotrophic
168,276,2657,1485,Fox,NA,Surface Mine Lake,72,3,Sullivan,2018,3-Jul-18,Deep Hole,39.0689,-87.341669,9.1,1.1,179,18.04,NA,7.2,7.2,615,655.8,118,175,0.008,0.008,0.087,0.853,NA,NA,0.004,0.015,0.028,0.036,7.917,NA,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,0,7,0,146.5,635.4,7.2,0.008,0.47,NA,0,0.0095,0.032,59,51,54,52,55,NA,0.594,1.022,FALSE,Eutrophic
19,35,2362,1311,Turtle,3.24,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,39.06694333,-87.33888333,7,3.6,19.94,16.072,59.14,8.8,7.1,408,494,80,129,0.085,0.065,0.018,0.018,0.54,0.596,0.01,0.01,0.019,0.071,1.495,NA,33069,1773471,35.8,69,635263,22879,1044836,10082,50152,50,41794,57,1209,1,217,0,104.5,451,7.95,0.075,0.018,0.568,0.55,0.01,0.045,42,35,59,47,45,NA,NA,NA,FALSE,Oligotrophic
33,279,2660,1226,Bass,85.39,Surface Mine Lake,72,3,Sullivan,2018,3-Jul-18,Deep Hole,39.0549568,-87.3289738,15.5,4,1280,20.01,NA,7.3,7.2,691.7,747.6,122,182,0.008,0.008,0.112,1.116,NA,NA,0.004,0.375,NA,NA,1.989,NA,0,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,0,48,0,152,719.65,7.25,0.008,0.614,NA,0,0.1895,NA,40,37,NA,NA,NA,NA,NA,NA,FALSE,Mesotrophic
48,39,2366,1226,Bass,85.39,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,39.06179,-87.32563,16,4.3,25.59,10.66,50,9.3,9.1,655,815,89,92,1.058,0.102,0.018,0.018,0.38,0.422,0.01,0.01,0.023,0.019,2.5,NA,6678,1493947,24.4,83,364068,5528,891597,913,81730,81,156030,156,479,0,43,0,90.5,735,9.2,0.58,0.018,0.401,0.383,0.01,0.021,39,40,48,49,42,NA,NA,NA,FALSE,Mesotrophic
282,108,2459,689,George (Hobart),109.27,impoundment,54,3,Lake,2016,11-Jul-16,Deep Hole,41.53045,-87.26836,2.13,0.55,4.894,7,NA,8.35,NA,702,NA,183,NA,0.956,NA,0.021,NA,NA,NA,0.008,NA,0.136,NA,56.487,NA,25982,11671631,4,9,464070,2364,9333930,21735,262681,272,1602354,1603,8322,8,274,0,183,702,8.35,0.956,0.021,NA,0,0.008,0.136,69,70,75,75,71,NA,2.349,NA,FALSE,Hypereutrophic
208,271,2652,992,Prides Creek,36.42,impoundment,72,3,Pie,2018,2-Jul-18,Deep Hole,38.98461,-87.26594,8.3,1.2,330,3.936,NA,7.4,7.3,168.9,272.1,65,105,0.008,0.008,0.063,1.21,NA,NA,0.009,0.214,0.016,0.047,14.418,NA,0,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,0,57,0,85,220.5,7.35,0.008,0.6365,NA,0,0.1115,0.0315,57,57,54,44,56,NA,0.297,1.059,FALSE,Eutrophic
99,333,2718,1273,Locust,2.83,Surface Mine Lake,72,9,Sullivan,2018,7-Aug-18,Deep Hole,38.96876,-87.26104,4.8,3.2,227.5,14.104,NA,8.6,7.2,570.2,838.2,75,154,NA,NA,0.014,0.014,NA,NA,0.004,0.006,0.064,NA,4.082,NA,0,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,0,106,0,114.5,704.2,7.9,NA,0.014,NA,0,0.005,0.064,43,44,64,64,50,NA,0.913,NA,FALSE,Mesotrophic
305,53,2380,1317,Willow,1.62,Surface Mine Lake,72,6,Sullivan,2015,22-Jul-15,deep hole,39.02938,-87.25882,9.75,3.5,28.98,13.12,30.76,7.4,7.1,1446,3640,96.5,553,0.023,0.019,0.018,9.53,0.452,11.121,0.01,NA,0.016,0.504,NA,NA,10704,816044,44.2,89,361095,9518,387842,1119,20060,20,46808,47,161,0,78,0,324.75,2543,7.25,0.021,4.774,5.7865,1.0125,0.01,0.26,42,NA,84,44,NA,NA,NA,NA,FALSE,NA
24,272,2653,993,"Twin Pitts, East",12.55,Surface Mine Lake,72,3,Pike,2018,2-Jul-18,Deep Hole,38.3963981,-87.2565129,5,3.4,405,13.448,NA,6.9,7,1924,2223,168,280,0.008,0.008,0.05,0.104,NA,NA,0.002,0.013,0.034,0.028,1.591,NA,0,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,0,283,0,224,2073.5,6.95,0.008,0.077,NA,0,0.0075,0.031,42,35,54,55,44,NA,0.737,0.423,FALSE,Oligotrophic
74,273,2654,994,"Twin Pitts, West",7.28,Surface Mine Lake,72,3,Pike,2018,2-Jul-18,Deep Hole,38.3937262,-87.2558558,2.7,2.1,194,8.2,NA,7,7,1563,1593,112,117,0.008,0.008,0.067,0.049,NA,NA,0.006,0.0088,0.042,0.237,3.183,NA,2,2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133,2,52,0,114.5,1578,7,0.008,0.058,NA,0,0.0074,0.1395,49,42,75,58,55,NA,1.034,2.168,FALSE,Mesotrophic
327,191,2558,1227,Benefiel,24.28,Surface Mine Lake,72,5,Sullivan,2017,11-Jul-17,Deep Hole,38.97124,-87.25554,9.1,6.1,59,30,88,7.5,NA,1737,2557,106,NA,0.008,0.008,0.015,0.116,NA,NA,NA,NA,0.002,0.023,NA,NA,3744,311243,10.8,23,33563,854,255383,2866,7296,7,14593,17,199,0,209,0,106,2147,7.5,0.008,0.0655,NA,0,NA,0.0125,34,NA,41,14,NA,NA,0.462,0.79,FALSE,NA
39,32,2359,1308,T Lake,2.02,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,39.02662,-87.25375,7.6,2.5,23.62,7.38,57.14,7,6.6,1276,4120,65,94,0.083,0.065,0.018,0.135,0.298,0.452,0.01,0.012,0.023,0.026,2.38,NA,21337,1890460,67.9,96,1283898,20382,472546,589,8916,9,124823,357,174,0,103,0,79.5,2698,6.8,0.074,0.0765,0.375,0.2985,0.011,0.0245,47,39,50,49,45,NA,NA,NA,FALSE,Mesotrophic
11,36,2363,1254,Gambill,4.86,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,39.04676,-87.25204,13,8.7,NA,22.96,84.61,8.1,7.8,1396,2470,117,115,0.07,0.078,0.018,0.018,0.23,0.23,0.01,0.01,0.013,0.029,1.33,NA,8973,1254817,22.3,31,280216,2784,904334,6120,6369,6,63686,63,103,0,109,0,116,1933,7.95,0.074,0.018,0.23,0.212,0.01,0.021,29,33,48,41,37,NA,NA,NA,FALSE,Oligotrophic
306,68,2403,1401,Scales,26.71,Surface Mine Lake,72,9,Warrick,2015,3-Aug-15,deep hole,38.06382,-87.25142,6.25,0.8,5.514,7.216,100,8.9,8.5,462,696,95,213,0.042,0.035,0.057,3.235,0.8395,2.567,0.01,0.274,0.046,0.4,NA,NA,63305,3308276,45.3,90,1497881,57267,1560293,5787,26748,27,222899,224,431,0,24,0,154,579,8.7,0.0385,1.646,1.70325,0.7825,0.142,0.223,63,NA,82,59,NA,NA,NA,NA,FALSE,NA
36,118,2469,1296,Redbud,1.62,Surface Mine Lake,72,5,Sullivan,2016,20-Jul-16,Deep Hole,38.9769,-87.25131667,7,3.8,27.11,15.6,NA,7.4,7.1,935,1500,79,212,0.0086,0.0086,0.131,0.5005,NA,NA,0.002,0.022,0.012,0.089,2.147,NA,14665,1747691,34.7,71,606285,10361,918344,3207,124823,125,98076,972,99,0,64,0,145.5,1217.5,7.25,0.0086,0.31575,NA,0,0.012,0.0505,41,38,61,40,47,NA,0.467,1.487,FALSE,Mesotrophic
98,332,2717,1296,Redbud,1.62,Surface Mine Lake,72,9,Sullivan,2018,7-Aug-18,Deep Hole,38.9769,-87.25131667,NA,NA,NA,NA,NA,7.4,7.4,NA,NA,91,298,NA,NA,0.014,1.465,NA,NA,0.006,0.206,0.02,0.056,4.082,NA,0,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,0,44,0,194.5,NA,7.4,NA,0.7395,NA,0,0.106,0.038,NA,44,57,47,NA,NA,0.463,0.841,FALSE,Mesotrophic
139,48,2375,1296,Redbud,1.62,Surface Mine Lake,72,6,Sullivan,2015,22-Jul-15,deep hole,38.97683,-87.2513,7,1.6,32.32,11.48,42.86,8.7,7.9,952,1750,96,215,0.048,0.047,0.018,0.243,0.71,1.329,0.01,0.041,0.032,0.051,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,1351,8.3,0.0475,0.1305,1.0195,0.889,0.0255,0.0415,53,49,58,54,53,NA,NA,NA,FALSE,Mesotrophic
2,116,2467,1254,Gambill,4.86,Surface Mine Lake,72,5,Sullivan,2016,20-Jul-16,Deep Hole,39.04635,-87.25106667,12.8,8.85,23.65,33.8,NA,7.2,6.4,1476,2280,123,209,0.0086,0.0086,0.114,0.113,NA,NA,0.002,0.004,0.016,0.013,0.689,NA,3999,833643,27.3,75,227357,3010,601828,985,NA,NA,4458,4,NA,NA,NA,NA,166,1878,6.8,0.0086,0.1135,NA,0,0.003,0.0145,29,27,43,44,33,NA,0.204,0.243,FALSE,Oligotrophic
249,49,2376,1295,Red Pine,1.62,Surface Mine Lake,72,6,Sullivan,2015,22-Jul-15,deep hole,38.97544,-87.25105,3.65,1.8,4.72,6.56,NA,8.5,NA,866,NA,162,NA,NA,NA,NA,NA,0.911,NA,0.01,NA,0.079,NA,29.8,NA,7608,2187095,0.8,6,17832,455,44580,295,187235,187,1916932,6651,18370,18,2146,2,162,866,8.5,NA,NA,0.911,0,0.01,0.079,52,64,67,67,61,NA,NA,NA,FALSE,Eutrophic
220,274,2655,1401,Scales,26.71,Surface Mine Lake,72,3,Warrick,2018,2-Jul-18,Deep Hole,38.0637008,-87.2507964,5.2,1.4,164,9.184,NA,7.5,7.2,431.3,529.3,106,153,0.008,0.008,0.072,1.145,NA,NA,0.013,0.174,0.091,0.091,17.505,NA,1,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,1,143,0,129.5,480.3,7.35,0.008,0.6085,NA,0,0.0935,0.091,55,59,69,69,61,NA,1.718,3.019,FALSE,Eutrophic
41,119,2470,1259,Hackberry,2.02,Surface Mine Lake,72,5,Sullivan,2016,20-Jul-16,Deep Hole,38.97694,-87.24917,9,4.9,15.4,22.1,NA,7.45,7.1,988,2860,117.5,285,0.0086,0.0086,0.1055,0.447,NA,NA,0.002,0.046,0.012,0.23,2.467,NA,51528,1143251,71.1,98,813280,50314,314469,1192,NA,NA,14459,22,496,0,547,0,201.25,1924,7.275,0.0086,0.27625,NA,0,0.024,0.121,37,39,73,40,50,NA,0.365,2.354,FALSE,Mesotrophic
171,114,2465,1278,Lower Fry,1.62,Surface Mine Lake,72,5,Sullivan,2016,20-Jul-16,Deep Hole,39.00993333,-87.24905,2.1,1.75,12.35,NA,NA,7.6,NA,879,NA,164,NA,0.0086,NA,0.162,NA,NA,NA,0.002,NA,0.016,NA,8.945,NA,1210,607223,6.2,30,37447,367,508209,781,13374,14,45472,46,2628,2,93,0,164,879,7.6,0.0086,0.162,NA,0,0.002,0.016,52,52,44,44,49,NA,0.362,NA,FALSE,Eutrophic
136,319,2704,1253,Fry,1.62,Surface Mine Lake,NA,7,Sullivan,2018,26-Jul-18,Deep Hole,39.0109904,-87.2488518,2.7,2.1,693,7.872,NA,7.4,NA,848.1,NA,173,NA,NA,NA,NA,8.36,NA,NA,0.017,NA,0.011,0.779,5.835,NA,2,2343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2273,2,70,0,173,848.1,7.4,NA,8.36,NA,0,0.017,0.395,49,48,90,39,62,NA,0.446,10.783,FALSE,Mesotrophic
164,37,2364,1259,Hackberry,2.02,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,38.97644,-87.24823,8.25,3.6,16.76,8.856,60.6,8,8.1,1020,1262,125,127,0.081,0.077,0.018,0.018,0.279,0.368,0.01,0.01,0.039,0.039,8.05,NA,233891,2996731,38.4,98,1150159,229496,133740,1024,NA,NA,1711864,3370,641,1,327,0,126,1141,8.05,0.079,0.018,0.3235,0.3055,0.01,0.039,42,51,57,57,50,NA,NA,NA,FALSE,Eutrophic
263,318,2703,1229,Big Fry,1.82,Surface Mine Lake,72,7,Sullivan,2018,26-Jul-18,Deep Hole,39.0125743,-87.2470129,3.3,1,807,6.56,NA,8.3,7.9,154,162.3,177,179,0.008,0.008,0.026,0.031,NA,NA,0.011,0.009,0.016,NA,33.816,NA,0,996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,0,92,0,178,158.15,8.1,0.008,0.0285,NA,0,0.01,0.016,60,65,44,44,56,NA,0.477,NA,FALSE,Hypereutrophic
90,38,2365,1260,Hale,6.07,Surface Mine Lake,72,4,Sullivan,2015,15-Jul-15,deep hole,38.9715,-87.24646,8.5,3.2,14.68,13.12,47.06,8,7,1354,4620,163,790,0.14,0.013,0.018,14.391,0.361,6.558,0.01,0.554,0.048,0.349,4.13,NA,16498,1148615,37.8,89,434653,14729,568389,1178,39007,39,105877,552,471,0,218,0,476.5,2987,7.5,0.0765,7.2045,3.4595,0.343,0.282,0.1985,43,44,80,60,56,NA,NA,NA,FALSE,Mesotrophic
4,192,2559,1260,Hale,6.07,Surface Mine Lake,72,5,Sullivan,2017,10-Jul-17,Deep Hole,38.97139,-87.24642,9.1,4,49.6,13,54.9,8.1,6.9,1644,3372,178,1002,0.018,0.008,0.014,14.647,NA,NA,NA,NA,0.003,1.633,0.796,NA,699,334044,1.9,29,6485,202,181605,349,71345,72,74587,76,11,0,11,0,590,2508,7.5,0.013,7.3305,NA,0,NA,0.818,40,28,101,20,56,NA,0.133,13.537,FALSE,Oligotrophic
314,76,2411,1270,Kickapoo,12.14,impoundment,72,9,Sullivan,2015,4-Aug-15,deep hole,39.16338,-87.24595,11.6,4.6,14.86,18.04,100,7.6,6.9,213,247,71,89,0.171,0.077,0.116,1.29,0.521,1.957,0.01,0.056,0.028,0.12,NA,NA,6076,765074,41.3,88,315626,5328,315625,604,10699,11,123040,133,66,0,18,0,80,230,7.25,0.124,0.703,1.239,0.536,0.033,0.074,38,NA,66,52,NA,NA,NA,NA,FALSE,NA
240,313,2699,1299,Shakamak,22.66,impoundment,72,7,Sullivan,2018,26-Jul-18,Deep Hole,39.1764152,-87.2453573,6.7,1,73.3,6.232,NA,7.2,6.9,231.3,399.3,77,110,0.011,0.016,0.029,2.807,NA,NA,1.227,0.028,0.017,0.063,24.864,NA,0,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,0,27,0,93.5,315.3,7.05,0.0135,1.418,NA,0,0.6275,0.04,60,62,57,45,60,NA,0.452,0.784,FALSE,Eutrophic
315,77,2412,1299,Shakamak,22.66,impoundment,72,9,Sullivan,2015,4-Aug-15,deep hole,39.17606,-87.24513,6.6,NA,12.24,9.184,100,8,6.8,248,365,85,128,0.025,0.045,0.059,0.056,0.957,1.152,0.01,0.167,0.07,0.335,NA,NA,31846,4538253,46.6,85,2113081,26953,2015008,4483,240731,241,169403,169,21,0,9,0,106.5,306.5,7.4,0.035,0.0575,1.0545,0.997,0.0885,0.2025,NA,NA,81,65,NA,NA,NA,NA,FALSE,NA
116,331,2716,1302,Spencer,2.43,Surface Mine Lake,72,9,Sullivan,2018,6-Aug-18,Deep Hole,38.97961,-87.24512,5.5,2.5,842.3,12.136,NA,8,7.8,1925,2230,238,273,NA,NA,0.014,0.073,NA,NA,0.008,0.008,0.029,0.225,4.825,NA,0,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,0,85,0,255.5,2077.5,7.9,NA,0.0435,NA,0,0.008,0.127,47,46,74,53,56,NA,0.71,2.709,FALSE,Mesotrophic
173,219,2586,1310,Trout,2.02,Surface Mine Lake,72,8,Sullivan,2017,19-Jul-17,Deep hole,39.04465,-87.24445,6,1.8,17.2,8.25,50,7.1,6.7,2080,2675,295,846,0.02,0.021,0.099,3.34,NA,NA,0.008,0.731,0.038,0.735,8.752,NA,17357,566927,17.2,97,97290,16844,223764,268,48644,48,197010,197,31,0,188,0,570.5,2377.5,6.9,0.0205,1.7195,NA,0,0.3695,0.3865,52,52,90,57,65,NA,0.836,12.618,FALSE,Eutrophic
277,317,2702,1264,Impoundment No. 26,19.02,Surface Mine Lake,72,7,Sullivan,2018,26-Jul-18,Deep Hole,39.0184017,-87.2435545,2.8,0.6,674,6.56,NA,8.1,8,281.2,311.5,124,125,0.008,0.009,0.385,0.327,NA,NA,0.022,0.028,0.036,0.037,49.331,NA,1,1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144,1,7,0,124.5,296.35,8.05,0.0085,0.356,NA,0,0.025,0.0365,67,69,56,56,64,NA,0.7,0.485,FALSE,Hypereutrophic
20,51,2378,362,Todd,3.24,Surface Mine Lake,72,6,Greene,2015,22-Jul-15,deep hole,38.96924,-87.2393,10,5.8,22.61,26.24,100,8.3,7.8,2040,2610,129,220,0.02725,0.03,0.0375,0.018,0.5,0.515,0.01,0.01,0.01,0.019,1.57,NA,269,74083,38.5,76,28518,205,32125,46,1311,1,11800,17,45,0,284,0,174.5,2325,8.05,0.028625,0.02775,0.5075,0.47975,0.01,0.0145,35,35,43,37,38,NA,NA,NA,FALSE,Oligotrophic
115,315,2700,312,Clear,1.21,Surface Mine Lake,72,7,Greene,2018,26-Jul-18,Deep Hole,39.0487718,-87.2385994,5.8,3.1,72.5,13.12,NA,7.1,7.7,204.7,256.8,87,100,0.01,NA,0.055,NA,NA,NA,0.006,0.009,0.022,0.054,5.009,NA,0,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,0,97,0,93.5,230.75,7.4,0.01,0.055,NA,0,0.0075,0.038,44,46,57,49,49,NA,0.387,0.611,FALSE,Mesotrophic
76,316,2701,311,Chapel Pit,1.21,Surface Mine Lake,72,7,Greene,2018,26-Jul-18,Deep Hole,39.0233016,-87.2369576,6.1,2.3,843,11.48,NA,7.1,7.2,269,411.5,92,165,0.008,0.008,0.014,0.052,NA,NA,0.006,0.006,0.151,0.189,3.183,NA,0,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,0,190,0,128.5,340.25,7.15,0.008,0.033,NA,0,0.006,0.17,48,42,78,77,56,NA,2.266,2.735,FALSE,Mesotrophic
22,194,2560,1283,Mayfield,6.07,Surface Mine Lake,72,5,Sullivan,2017,11-Jul-17,Deep Hole,38.99308,-87.23665,7.9,4.7,52.1,7.9,63.3,7.8,6.8,2336,2508,180,246,0.008,0.008,0.014,1.694,NA,NA,NA,NA,0.014,0.002,1.591,NA,889,481691,8.2,36,39402,324,402777,502,21890,22,17512,41,16,0,94,0,213,2422,7.3,0.008,0.854,NA,0,NA,0.008,38,35,34,42,36,NA,0.1,2.158,FALSE,Oligotrophic
144,195,2561,311,Chapel Pit,1.21,Surface Mine Lake,72,5,Greene,2017,11-Jul-17,Deep Hole,39.0233,-87.23665,6,1.9,35.1,13,33.3,6.9,6.9,280,320,103,123,0.008,0.008,0.014,0.014,NA,NA,NA,NA,0.013,0.044,6.862,NA,5611,700810,6.2,6,43780,339,446558,1435,11675,12,198470,3825,232,0,95,0,113,300,6.9,0.008,0.014,NA,0,NA,0.0285,51,49,52,41,51,NA,0.948,0.815,FALSE,Mesotrophic
